REGIAO:;NE
UF:;RN
ESTACAO:;IPANGUACU
CODIGO (WMO):;A372
LATITUDE:;-5,53499999
LONGITUDE:;-36,87222221
ALTITUDE:;19
DATA DE FUNDACAO:;08/11/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;1000 UTC;0;1010,4;1010,4;1009,6;;25,5;22,5;25,6;23,4;22,8;21,4;89;83;83;3;1,4;0;
2023/01/01;1100 UTC;0;1010,6;1010,6;1010,4;;28;23,1;28,1;25,5;23,5;22,4;83;74;74;115;4,9;1,7;
2023/01/01;1200 UTC;0;1010,5;1010,7;1010,5;;29,6;22,5;29,8;28;23,5;22,3;74;66;66;104;7,2;2,9;
2023/01/01;1300 UTC;0;1009,8;1010,6;1009,8;;31,5;22,5;31,6;29,6;23,3;22,1;66;59;59;105;8;3,8;
2023/01/01;1400 UTC;0;1009,3;1009,9;1009,3;;31,8;21,4;32,3;31,3;22,7;21,4;59;54;54;86;9,4;4,7;
2023/01/01;1500 UTC;0;1008,3;1009,4;1008,3;;32,6;21,4;33;31,4;22,2;21;56;52;52;63;9,4;2,2;
2023/01/01;1600 UTC;0;1007,2;1008,3;1007,2;,3;34,2;21,4;34,7;32,6;22,2;20,8;53;47;47;58;6,7;3,3;
2023/01/01;1700 UTC;0;1006,9;1007,3;1006,8;5800,8;32,1;21,1;34,4;31,9;22,3;20,7;54;46;52;59;11;3,5;
2023/01/01;1800 UTC;0;1006,5;1006,9;1006,5;4518,9;28,2;22,1;32,3;28,2;22,2;20,5;70;52;70;354;9,7;5,3;
2023/01/01;1900 UTC;0;1006,2;1006,5;1006,2;5291,2;28,6;22,9;28,9;28;23,1;22,1;71;70;71;355;7,6;3,7;
2023/01/01;2000 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;2100 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;2200 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;2300 UTC;;;;;;;;;;;;;;;;;;
2023/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2023/01/02;0100 UTC;;;;;;;;;;;;;;;;;;
